"Readout","increase","decrease","convex","concave","sample_id","sample_name","botanical_group","botanical_form","supplier","sample_lot","stock_form","stock_solution_mg/ml"
"ahr-p1_luc",0.521271451208997,1,0.154251520723956,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ahr-p1_via",0.0655900976039344,1,0.0789013186550177,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-agonist-p1_luc",0.00407069160632696,1,0.0100246383029063,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-agonist-p1_via",0.624120848824286,1,1,0.210289025537439,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-antagonist-p1_luc",1,0.414850267377334,1,0.00404152629561182,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-antagonist-p1_via",0.645071770454175,0.985376968190476,0.985376968190476,0.066109730846989,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_ch1",1,0.042743016952468,1,0.0213758953503841,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_ch2",0.0158758470187836,1,0.0180289636423197,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_ratio",0.00244719405177024,1,0.00126136985351247,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_via",1,0.20062376726555,1,0.0515744337405421,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-agonist-p1_luc",0.00610476647693487,1,0.0867853260385869,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-agonist-p1_via",1,0.182486415221475,1,0.0427177818500765,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-antagonist-p1_luc",0.245626688839535,1,0.245626688839535,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-antagonist-p1_via",1,0.380539844128787,1,0.035366327670815,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-aromatase-p1_luc",1,1,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-aromatase-p1_via",1,0.5556207622475,1,0.16291238975446,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"elg1-luc-agonist-p1_luc",0.0271854381100522,1,1,0.334584830383182,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"elg1-luc-agonist-p1_via",1,0.918766082144258,1,0.918766082144258,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"er-luc-bg1-4e2-agonist-p1_luc",1,0.663102586703424,0.756446525437106,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"er-luc-bg1-4e2-agonist-p1_via",1,0.142286913908649,1,0.142286913908649,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"er-luc-bg1-4e2-antagonist-p1_luc",0.00695679755024897,1,1,0.486050265496313,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"er-luc-bg1-4e2-antagonist-p1_via",1,0.366611381520425,1,0.0946085401588731,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"hse-bla-p1_ch1",1,1,1,0.703798818534463,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"hse-bla-p1_ch2",1,1,1,0.735400475943117,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"hse-bla-p1_ratio",0.7871579090576,1,0.7871579090576,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"hse-bla-p1_via",1,1,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"mmp-p1_ch1",1,0.0137506826179834,1,0.0116314833674082,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"mmp-p1_ch2",1,0.000593609836788045,1,0.0044863889899283,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"mmp-p1_ratio",0.851731731511881,1,0.851731731511881,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"mmp-p1_via",0.749241661146378,1,1,0.161864292444038,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"p53-bla-p1_ch1",1,0.126075166759295,1,0.830768310979504,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"p53-bla-p1_ch2",1,0.0968772997525884,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"p53-bla-p1_ratio",1,0.0641251230010322,0.060641869366661,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"p53-bla-p1_via",1,0.663075287289655,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-agonist-p1_ch1",1,0.0276438896709154,1,0.332943940465602,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-agonist-p1_ch2",0.417850299711262,1,1,0.722213766653093,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-agonist-p1_ratio",0.266335933337343,1,0.251414240609343,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-agonist-p1_via",0.276186735732893,1,1,0.729850946656556,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-antagonist-p1_ch1",1,1,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-antagonist-p1_ch2",0.0112700193324482,1,0.0109750893275265,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-antagonist-p1_ratio",0.0279144032642341,1,0.0247540048414447,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"pparg-bla-antagonist-p1_via",0.731273460879472,1,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-flor-p1_0h",1,0.16065230336743,1,0.0563126249755576,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-flor-p1_16h",1,0.872441878171965,1,0.402585796380477,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-flor-p1_24h",1,0.734616305871664,1,0.160358940386257,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-flor-p1_32h",1,1,1,0.648758106898749,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-flor-p1_40h",1,1,1,0.797971103616812,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-flor-p1_8h",1,0.482914794172861,1,0.00411490446893255,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-glo-p1_0h",1,0.631604331278197,1,0.189205140486045,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-glo-p1_16h",1,0.182760823321824,1,0.108042143225542,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-glo-p1_24h",1,0.116701191107926,1,0.123578714180894,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-glo-p1_32h",1,0.150936295662642,1,0.150936295662642,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-glo-p1_40h",1,0.144649852872313,1,0.156622382012947,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hek293-glo-p1_8h",1,0.134383163077606,1,0.0775893338248754,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-flor-p1_0h",1,0.41376473726278,1,0.570092949007909,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-flor-p1_16h",1,0.985724514219745,1,0.413046188255287,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-flor-p1_24h",1,1,1,0.71214235109219,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-flor-p1_32h",1,1,1,0.787690020854379,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-flor-p1_40h",1,1,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-flor-p1_8h",1,1,1,0.574459392241275,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-glo-p1_0h",1,0.0315796609122569,1,7.44207740911152e-05,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-glo-p1_16h",1,0.0766577600182626,1,0.0269583890502752,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-glo-p1_24h",1,0.043498366913123,1,0.0165401845008055,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-glo-p1_32h",1,0.0227996364341931,1,0.0232757617763727,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-glo-p1_40h",1,0.0608325010291393,1,0.0608325010291393,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"rt-viability-hepg2-glo-p1_8h",1,0.0868160941714653,1,0.0181161429333756,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ahr-p1_luc",0.0146205447995134,1,0.0146633224271027,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"ahr-p1_via",1,0.456507019230114,1,0.22270605204735,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"ar-mda-kb2-luc-agonist-p1_luc",1,0.312465357005767,1,0.0380359105021729,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"ar-mda-kb2-luc-agonist-p1_via",0.791526518579067,0.791526518579067,0.791526518579067,0.137148289838204,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"ar-mda-kb2-luc-antagonist-p1_luc",1,0.334485401547337,1,0.0264110349152933,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"ar-mda-kb2-luc-antagonist-p1_via",0.68442893962455,0.786546504275342,0.787,0.0211480059475734,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"are-bla-p1_ch1",1,0.101906374714749,1,0.0848748236061742,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"are-bla-p1_ch2",0.076285267146697,1,0.0463314288990074,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"are-bla-p1_ratio",0.0224270384768121,1,0.00762076874004571,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"are-bla-p1_via",1,0.287879834710467,1,0.082550936941261,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"aromatase-er-agonist-p1_luc",1,1,1,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"aromatase-er-agonist-p1_via",1,0.0995280302991345,1,0.0210504426362942,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"aromatase-er-antagonist-p1_luc",1,0.0295222683034541,0.908742002907166,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"aromatase-er-antagonist-p1_via",1,0.317223698536035,1,0.00981962686667328,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"aromatase-er-aromatase-p1_luc",1,0.0353280244502783,1,0.366946639972033,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"aromatase-er-aromatase-p1_via",1,0.158421782116861,1,0.00464585256968615,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"elg1-luc-agonist-p1_luc",0.240284829622698,1,0.529723368417937,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"elg1-luc-agonist-p1_via",1,0.0996090762610942,1,0.0996090762610942,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"er-luc-bg1-4e2-agonist-p1_luc",1,0.0303672989850339,1,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"er-luc-bg1-4e2-agonist-p1_via",1,0.0407353626373502,1,0.0387032911218255,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"er-luc-bg1-4e2-antagonist-p1_luc",0.206479115064873,1,1,0.573891860911078,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"er-luc-bg1-4e2-antagonist-p1_via",1,0.17807812415234,1,0.090524259354728,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"hse-bla-p1_ch1",1,0.504025684844688,1,0.0301154606325344,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"hse-bla-p1_ch2",1,0.551003178530047,1,0.00395781216405626,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"hse-bla-p1_ratio",0.493828209099654,1,0.116419665641194,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"hse-bla-p1_via",1,1,1,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"mmp-p1_ch1",1,0.0369879077871995,1,0.00888356728766434,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"mmp-p1_ch2",1,0.00665577790891597,1,0.0054336153759464,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"mmp-p1_ratio",1,0.00740643773661184,1,0.00137925862541669,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"mmp-p1_via",0.974755049408759,0.945810721873053,0.974755049408759,0.0784597470130884,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"p53-bla-p1_ch1",1,1,0.649426947819401,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"p53-bla-p1_ch2",1,1,0.639582222968005,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"p53-bla-p1_ratio",1,0.367673723051104,0.153639433056011,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"p53-bla-p1_via",1,1,1,0.285676641145665,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-agonist-p1_ch1",1,0.103986750900814,1,0.103986750900814,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-agonist-p1_ch2",1,1,1,0.254830529382331,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-agonist-p1_ratio",0.0251680901245289,1,0.123156193116148,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-agonist-p1_via",0.321165165251059,1,1,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-antagonist-p1_ch1",1,1,1,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-antagonist-p1_ch2",1,0.00620821368700325,1,0.793764725717221,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-antagonist-p1_ratio",0.182630525365151,1,0.116382927088113,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"pparg-bla-antagonist-p1_via",0.390198677534467,1,1,0.665963008744808,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-flor-p1_0h",1,0.812961575080427,1,0.247951768423967,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-flor-p1_16h",1,1,1,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-flor-p1_24h",1,1,1,0.732041931029318,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-flor-p1_32h",1,1,1,0.288779923734069,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-flor-p1_40h",1,1,1,0.344136199184879,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-flor-p1_8h",0.922507508273493,1,1,0.444113196310102,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-glo-p1_0h",0.261326961093709,1,0.808152641156994,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-glo-p1_16h",1,0.115840769898731,1,0.215913995824209,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-glo-p1_24h",1,0.0822547260281296,1,0.313228553109265,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-glo-p1_32h",1,0.0945077200573168,1,0.346034092030278,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-glo-p1_40h",1,0.0955758194925432,1,0.405603790430861,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hek293-glo-p1_8h",1,0.120375352507274,1,0.121287525142644,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-flor-p1_0h",1,0.338086804283079,0.897900337143266,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-flor-p1_16h",1,0.0203629375663841,0.503598528502339,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-flor-p1_24h",1,0.0262394847511394,0.588123509275904,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-flor-p1_32h",1,0.0173509123565268,0.390356407255292,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-flor-p1_40h",1,0.0244438244497852,0.104654752269935,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-flor-p1_8h",1,0.0873205357274078,0.710254878819684,1,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-glo-p1_0h",0.902464644517861,0.902464644517861,0.902464644517861,0.0863798227103057,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-glo-p1_16h",0.91781960309941,0.634738836555756,0.91781960309941,0.0208653180611301,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-glo-p1_24h",0.905052438109089,0.692871214621422,0.905052438109089,0.0517316365514957,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-glo-p1_32h",0.964255955420328,0.51951217857049,0.964255955420328,0.0878687315892178,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-glo-p1_40h",1,0.452316721913086,1,0.31947522382692,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"rt-viability-hepg2-glo-p1_8h",1,0.567227652709706,1,0.0024163748966917,"NCGC00372559-01","Goldenseal Root Powder (lot 019-0308)","Goldenseal","extract","Quality Botanical Ingredients","019-0308","mg/ml",10
"ahr-p1_luc",0.233128219354742,1,0.0465221073975117,1,"NCGC00372560-01","Corn oil (lot 065K0077)","Corn oil","oil","Sigma-Aldrich","065K0077","mg/ml",10
